HIS.Species,Amikacin,Amoxicillin,Ampicillin,Azithromycin,Bacitracin,Cefalexin,Cefazolin,Cefovecin,Cefoxitin,Cefpodoxime,Ceftazidime,Ceftiofur,Cephalexin,Cephalothin,Chloramphenicol,Ciprofloxacin,Clarithromycin,Clindamycin,Doxycycline,Erythromycin,Gentamicin,Imipenem,Marbofloxacin,Minocycline,Neomycin,Nitrofurantoin,Oxacillin,Penicillin,Rifampin,Tetracycline,Tobramycin,Trimethoprim,Vancomycin,MDRO
Canine,838,1893,2706,0,341,408,2660,2363,800,1916,137,905,197,661,1030,84,0,2688,1859,2606,1362,337,1185,253,93,63,2577,2713,440,1185,84,1867,3,TRUE
Equine,139,4,302,18,36,1,280,2,0,2,124,175,0,1,185,4,26,2,179,185,223,26,1,0,18,0,283,295,154,234,16,253,0,TRUE
Ovine,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,0,1,0,0,0,4,0,0,11,0,3,0,6,0,TRUE
Bovine,0,0,76,0,2,0,1,0,0,0,0,47,0,8,1,0,0,163,0,11,25,0,0,0,46,0,15,143,0,54,2,34,0,TRUE
Feline,84,203,251,0,7,54,276,152,99,166,11,97,28,28,107,4,0,255,161,247,109,41,102,8,2,19,260,253,73,67,1,132,1,TRUE
Other Small,15,29,51,0,10,14,56,7,16,9,2,30,2,2,30,1,0,53,24,34,18,3,2,0,6,4,37,56,7,12,3,19,0,TRUE
Other Large,9,3,16,0,3,3,15,0,1,0,5,17,0,0,14,1,0,33,8,10,18,0,0,0,12,1,12,43,1,13,0,5,0,TRUE
Porcine,0,0,42,0,0,0,0,0,0,0,0,29,0,0,0,0,0,46,0,0,18,0,0,0,13,0,0,39,0,30,0,23,0,TRUE
Caprine,0,0,16,0,0,0,0,0,0,0,0,10,0,0,1,0,0,24,0,0,6,0,0,0,2,0,0,26,1,10,0,10,0,TRUE
Avian,3,12,11,0,1,0,7,3,4,3,0,13,0,1,3,0,0,36,1,23,11,2,0,0,3,1,12,36,1,3,0,11,0,TRUE
Canine,36,900,1678,0,122,263,772,520,68,370,78,81,244,101,21,3,0,166,488,98,50,74,96,42,0,16,371,992,138,484,1,101,0,FALSE
Other Small,3,25,39,0,1,15,45,2,1,4,4,2,1,1,1,0,0,7,8,3,3,1,0,0,1,0,13,12,1,10,0,4,0,FALSE
Feline,1,163,215,0,12,17,54,26,6,31,9,8,29,7,7,1,0,27,27,24,2,5,10,2,0,3,24,74,27,29,0,8,0,FALSE
Equine,59,2,99,10,24,0,78,0,0,0,40,40,0,0,4,0,22,0,6,17,23,11,0,1,2,0,129,226,12,33,1,29,0,FALSE
Bovine,0,0,5,0,0,0,0,0,0,0,0,3,0,2,0,0,0,18,0,2,0,0,0,0,3,0,4,15,0,32,0,0,0,FALSE
Caprine,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,3,6,0,2,0,FALSE
Other Large,5,1,3,0,4,1,7,1,1,1,1,1,3,0,1,1,0,0,0,5,6,1,0,0,0,1,9,12,0,1,0,0,0,FALSE
Avian,1,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,4,0,3,0,0,0,0,0,4,5,0,3,1,1,0,FALSE
Porcine,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,1,0,0,4,0,11,0,1,0,FALSE
Ovine,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,FALSE
,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
