HIS.Species,Common_Organism,Organism_Count,Common_Infection,Infection_Count
Avian,Culture Negative,127,no growth,133
Bovine,Culture Negative,1163,no growth,1175
Canine,Culture Negative,21668,no growth,21909
Caprine,Culture Negative,414,no growth,418
Equine,Culture Negative,3895,no growth,3945
Feline,Culture Negative,5924,no growth,6035
Other Large,Culture Negative,6042,no growth,6046
Other Small,Culture Negative,299,no growth,313
Ovine,Culture Negative,109,no growth,112
Porcine,Culture Negative,256,no growth,258
NA,Culture Negative,42,no growth,42
