"Variable","Coefficient","Hazard_Ratio","P_Value"
"infection_typeno growth",0.244938808538911,1.27754313608192,1.92919748123622e-06
"Phoenics.SpeciesAvian",12.9384231181785,415992.752900127,0.929530017772836
"Phoenics.SpeciesBovine",8.37419755547258,4333.78925733668,0.954355078480489
"Phoenics.SpeciesCamelid",11.0884479432672,65411.1454903574,0.939585808378885
"Phoenics.SpeciesCanine",17.2060623372579,29682325.8454408,0.906379687605121
"Phoenics.SpeciesCaprine",15.613577807176,6037966.29553803,0.915010107440859
"Phoenics.SpeciesCervid",NA,NA,NA
"Phoenics.SpeciesEquine",9.70789792029087,16446.9926243379,0.947095165232179
"Phoenics.SpeciesFeline",13.1610692761861,519732.365423776,0.928320555066436
"Phoenics.SpeciesLab An.",NA,NA,NA
"Phoenics.SpeciesMiscellaneous",-1.11144032822759,0.329084629679349,0.997352237127276
"Phoenics.SpeciesNon An.",NA,NA,NA
"Phoenics.SpeciesOvine",NA,NA,NA
"Phoenics.SpeciesPorcine",NA,NA,NA
"Phoenics.SpeciesUnknown",NA,NA,NA
"Phoenics.SpeciesUnspecified",NA,NA,NA
"No.of.hours.hospitalized",-9.42796882059425e-06,0.999990572075623,0.541325916312031
