"Term","Coefficient","Hazard_Ratio","CI_low","CI_high","CI_Formatted","P_Value"
"MDRON/A",-0.0525193467778011,0.948835963959662,0.800816853095476,1.12421421080648,"0.95 [0.80, 1.12]","0.544"
"MDROTRUE",0.473888950422428,1.60622860611489,1.31898782711133,1.95602285485233,"1.61 [1.32, 1.96]","<0.001"
"infection_typeno growth",0.540628395069253,1.71708553131555,1.42401861659817,2.07046641630049,"1.72 [1.42, 2.07]","<0.001"
"HIS.SpeciesBovine",-16.5342692937552,6.59565731701877e-08,2.69886282821043e-188,1.61188982962838e+173,"0.00 [0.00, 161188982962838089123314858764843651179875941120241249006091632876697641256253327551428529475260692088380994770564435246828624695809855416926380572737265567223839328481312768.00]","0.938"
"HIS.SpeciesCanine",19.3889248858936,263331666.737863,8.69171976487086e-177,7.97811809202629e+192,"263331666.74 [0.00, 7978118092026287147724457407387258858209208289664453922373932765102327819922666601453150526450515220652549012396602702380152209779638706802154841793061485388777182680700765544298398393588252672.00]","0.929"
"HIS.SpeciesCaprine",17.775105623628,52436088.476812,1.73059749828662e-177,1.58878270508897e+192,"52436088.48 [0.00, 1588782705088968888084338516195302393565615069790620037214561048160612023882197450902989898435978726999072277117037900860811656802865207730739056383403638765609738214339921734227089332679737344.00]","0.935"
"HIS.SpeciesEquine",-30.0868859815858,8.57889674154712e-14,4.28272632914624e-287,1.71847238524826e+260,"0.00 [0.00, 171847238524825848567856317676754357662269982837800518874731879938110028928960105908473830661124543801928020891397865179237985040303713578930289124891034267734272701869936087864639166515542283945421015060908062386780400019201548278993927114054451567682419425280.00]","0.925"
"HIS.SpeciesFeline",0.297729659385882,1.34679764455809,0.968274394358072,1.87329532409016,"1.35 [0.97, 1.87]","0.077"
"HIS.SpeciesOther Large",-17.6855651650439,2.0857230441673e-08,0,,"0.00 [0.00, Inf]","0.991"
"HIS.SpeciesOther Small",-18.3603686664102,1.06216797359775e-08,0,,"0.00 [0.00, Inf]","0.997"
"HIS.SpeciesOvine",,,,,"NA [NA, NA]",
"HIS.SpeciesPorcine",-18.3119429665254,1.11486996793688e-08,0,,"0.00 [0.00, Inf]","0.986"
"Hospitalization..24..Hours.TRUE",-0.154369599823703,0.856955231969819,0.827321934672698,0.887649944747297,"0.86 [0.83, 0.89]","<0.001"
