"term","HR_CI","p.value"
"MDRON/A","0.95 [0.80, 1.12]","0.544"
"MDROTRUE","1.61 [1.32, 1.96]","<0.001"
"infection_typeeskapee pathogen","0.58 [0.48, 0.70]","<0.001"
"HIS.SpeciesAvian","0.00 [0.00, 111761656404313727083661242821013741458274430592927218294977178350620012274632282739312244779889106906045085431210956945644218120054752706145331494927115010441488951141665341440.00]","0.929"
"HIS.SpeciesBovine","0.00 [0.00, 255612653272762553408004294640298012198640518588779499793037494546926197605435976753193192101607602624963265309555396332652041545884798485609762235234357880099218863445769067143675231840911081821587027850617015312167266281307986789782727426048.00]","0.906"
"HIS.SpeciesCaprine","0.20 [0.15, 0.26]","<0.001"
"HIS.SpeciesEquine","0.00 [0.00, 175352753314065250822294486346627724358394245841824670456298639957005114216727913603423685267150011186233272986777180046590809000813072791438999963823041886469166387118316756776822425423157971159119312689811165827825301748777133911286209680081267634351610769849881903219627031314985966467586985389532217606144.00]","0.898"
"HIS.SpeciesFeline","0.00 [0.00, 150501706642372695655998224232868511834947632871991963508103618450365689934948724458254476784622256123373404363503589904234443992760433289562477641448224136856432124403017318400.00]","0.93"
"HIS.SpeciesOther Large","0.00 [0.00, Inf]","0.981"
"HIS.SpeciesOther Small","0.00 [0.00, Inf]","0.994"
"HIS.SpeciesOvine","NA [NA, NA]",NA
"HIS.SpeciesPorcine","0.00 [0.00, Inf]","0.972"
"Hospitalization..24..Hours.TRUE","0.86 [0.83, 0.89]","<0.001"
